,Year,Waste_types,Haz_NonHaz,A,B,C10_C12,C13_C15,C16,C17_C18,C19,C20_C22,C23,C24_C25,C26_C30,C31_C33,D,E36_E37_E39,F,G_U_X_G4677,EP_HH,Total_waste_gen,Energy_recovery,Incineration,No_backfilling,Backfilling,Deposit_land,Treated_waterbodies,Total_treatment
40,2012,"Metallic wastes, ferrous",Total,4335.47,2658.16,6662.92,32.9891322966933,0.0,0.0,0.0,1.8,1273.0,248847.63922937284,9012.808956769424,14.383681561081223,3.45,1280.05,1375410.3767188694,1142065.372,18260.208011562107,2809858.6277304315,0.0,0.0,9008028.109000003,229660.92,4936.926,0.0,9242625.955000004
41,2012,"Metallic wastes, non-ferrous",Total,1184.64,379.65,6471.15,0.0,187.25,0.0,0.0,306.8,0.0,39009.01263835589,7759.816361644123,0.0,1494.71,1346.91,290618.4359999998,142365.09100000007,5135.820086026415,496259.28608602635,0.0,5140.0,1579064.883,2823.33,1819.55,0.0,1588847.763
42,2012,"Metallic wastes, mixed",Total,16227.949105874071,22302.246,36411.8934929392,306.24606705424,11746.746329690257,4310.323926772297,1525.5451006198284,11942.614452917896,9331.001661882296,224026.6689887652,67125.18187977516,10429.925473464646,7271.204430655466,7631.638114056945,547911.4330000001,2626442.1899280865,303952.6660215821,3908895.473974136,0.0,0.0,4175681.961,0.0,386.706,0.0,4176068.667
43,2012,Glass wastes,Total,97.57,1014.32,7904.068460732158,37.959141923107595,3571.044305874985,127.00625078253498,8.277904244755652,3867.9295025183815,55551.500452165536,140.98781010599038,276.5155477901644,1797.8901344039841,226.31528955738014,97.57,88065.37899999999,516549.48039802024,734441.0421148541,1413774.8563129732,0.0,0.0,1706977.0374883718,210.9,42173.033,0.0,1749360.9704883718
44,2012,Paper & cardboard wastes,Total,7938.471934672915,2932.61,74178.63306388688,8593.929949754644,3971.873619438444,1011620.1696089128,440.4928548676768,42974.8442902215,6487.507910761386,13897.972028230577,48603.67989171654,39192.91760937409,2202.486929703872,1065.7959131382554,18674.24,4423455.056491269,1350236.7685677174,7056467.450663665,0.0,334.229,4390777.061000001,0.0,4861.896000000002,0.0,4395973.186000001
45,2012,Rubber wastes,Total,12733.553223087469,0.0,57.6,0.0,0.0,0.0,0.0,2004.151111111111,0.0,10.295,207.3333333333333,1649.45,1.6900000000000002,2.5333333333333328,1043.685800865801,282328.6874761225,9597.688000000004,309636.6672778536,135331.58,0.0,27536.403,0.0,1995.2200000000007,0.0,164863.20299999998
46,2012,Plastic wastes,Total,138577.06901176163,1681.59,48264.83769701023,5649.973121045627,4659.095629887476,22746.35712303133,5882.951541563186,123373.3800414701,4313.044946614699,39423.41733849392,35703.00967361632,29983.144841132416,1155.9889347873527,3173.77671141405,79837.733,690643.0324674172,136957.03209119866,1372025.4341704443,0.0,0.0,390807.45947826095,220.0,122432.694,0.0,513460.1534782609
47,2012,Wood wastes,Total,208.41,6938.44,33980.442115044185,3302.6349729580065,194334.05660328682,79114.21089016205,473.1961076969089,43714.77290274969,7378.119455185459,63535.88144377191,66021.4466450766,47854.73541752675,1726.271537249091,954.9083915098762,628146.6790000001,1104674.3867070922,770401.4219608615,3052760.014150172,347465.85,0.0,2581136.134,62166.8,25488.994,0.0,3016257.778
48,2012,Textile wastes,Total,70.72,72.91,10022.372558574827,35170.46831258861,70.72,971.336015643551,21.99,663.4181446419617,34.71822925432931,678.1342132426263,1978.8534880144407,2525.4291062538887,107.60890509125376,86.58,134.6,17454.981923393178,111235.83740063221,181300.67829733086,0.0,9723.0,394598.767,0.0,5816.975,0.0,410138.742
49,2012,Waste containing PCB,Total,5.56,52.32,0.38,0.0,0.04,0.0,0.0,2.32,0.0,0.0,4622.430999999999,4.81,28.380000000000006,0.01,251.0908333333333,106.27,0.0,5073.611833333333,0.0,0.0,5297.241000000001,0.0,2039.52,0.0,7336.761
50,2012,Discarded equipment,Total,129.09116891162492,985.76,2199.0909772902087,3219.4078431726025,137.6676669474906,6063.352122115122,40.218169250097326,1393.7189163832034,824.6826941539882,1933.7345569801535,3500.7232874366878,5300.654371070237,558.6641809537957,2008.4369191170047,2423.733,158142.64650348874,317393.26099999994,506254.8433772709,0.0,0.0,354625.05,0.0,1522.4150000000004,0.0,356147.465
51,2012,Discarded vehicles,Total,4179.71,0.0,3324.024,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,7.0,24.89,0.0,95.00295815295814,1358070.9764299584,712.833499499499,1366442.4368876107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2012,Batteries & accumulators wastes,Total,4425.6263692307675,260.38,1212.2860759535056,7.045696111524064,20.242356114853095,3.805113011518127,6.0210725746479845,156.44446271395054,16.999837318189922,307.5501274559212,1756.7191748878006,10.473239810410707,79.29224592811522,66.51860012472157,1229.9587499999998,85529.6648455171,7548.421417841673,102637.4493845947,0.0,0.0,88896.96000000002,0.0,14.24,0.0,88911.20000000003
53,2012,Animal & mixed food waste,Total,25109.03018500355,5707.57,1192756.2076666672,0.0,111.76,0.0,0.0,167.84,21.91217169058361,28.083333333333336,474.65782830941635,0.0,79.84,382.53,89.54,696054.5326067354,491494.25424999994,2412477.7580417395,132380.91999999998,256260.297,1046821.1120000001,0.0,105666.899,0.0,1541129.228
54,2012,Vegetal wastes,Total,16549.46,401.2,709225.5247666666,0.0,353.96,721.5520953441002,0.0,405.22,6.335933319555878,78.518126984127,191.07805466967716,21.5935,431.961,372.84,7032.6113456145995,221627.1,4236260.127749998,5193679.082572596,43114.0,0.0,4184948.8649999993,1014.54,124647.26400000001,0.0,4353724.669
55,2012,"Animal faeces, urine & manure",Total,133566.19,0.0,21189.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,799.1999999999998,0.0,0.0,975.568,0.0,156530.458,413529.0,0.0,40560.695,175.22,2812.36,0.0,457077.275
56,2012,Household & similar wastes,Total,2235.6194053887552,32689.66,497273.37516753026,4646.802589987209,22893.07257438768,162869.6510029799,1696.7545726574524,466307.6238295107,7602.973303259862,330259.02450067154,178553.19040080992,13484.626927506943,8728.470451695543,11397.524404209702,67821.77,8936816.702004049,15181600.660671595,25926877.50180624,0.0,5190391.604,435893.97799999994,5686.3,10562157.057,0.0,16194128.939
57,2012,Mixed & undifferentiated materials,Total,15610.659618626478,40593.62,117353.4455455924,14028.140293918595,3632.284467277343,145759.63132545937,319.2444558749216,2103099.5916460133,6442.673952822063,12251.10214949223,18964.18045923429,10315.646774093486,1971.9075290206347,16561.32179178567,3458.651666666666,305581.18770399364,2705089.4040000043,5521032.693379875,64645.0,431.402,237707.82,2697.0,387055.283,0.0,692536.5049999999
58,2012,Sorting residues,Total,0.0,12.97,1190.9195,0.0,754.3859999999999,1048.922,62.26,2145.8272222222226,244.9,3445.020365079365,598.4923245614036,1239.5314285714285,406.9300309523809,50.49,8747.0,33730.87183539491,0.0,53678.52070678171,302423.74,6270.379999999999,564905.494,55642.83,9669995.376,0.0,10599237.82
59,2012,Common sludges,Total,0.65,95.11,85360.5352090207,104.52879318704365,133.56278408901952,9847.106345322904,451.2086386537085,2019.1900522210904,821.2100942816229,2348.283473899486,1708.3964743820402,133.32366817805737,41.86292680848421,1136358.25001038,63.41391411255411,187523.63616681364,0.0,1427010.2685513503,29582.0,197407.0,1298321.72461038,3140.73,36493.532,0.0,1564944.9866103798
60,2012,Mineral waste from construction & demolition,Total,0.9,413.6,1042.8333333333333,7.0,8284.595999999998,6.0,122.58,2533.928148148148,4459.178122001344,39548.882008653396,306.62913125001364,26.796,533.8600000000001,596.26,52694749.06400322,21892.564705878896,18643.0,52793167.67145249,0.0,0.0,46778346.08259568,819023.9700000002,2220140.562,0.0,49817510.61459568
61,2012,Other mineral wastes,Total,27238.16154201253,16778919.097,37462.89528116216,21.601775132067832,522.3961981335646,51.62796755067972,534.7684024082657,117688.95084229414,100328.9012976675,181111.66958490238,1886.3643305358264,317.5563480800868,2432.982195592971,9446.375584513127,22889.665,30615.707544896566,0.0,17311468.720894888,0.0,0.0,1521208.985,267516.12,875375.022,16664373.5,19328473.627
62,2012,Combustion wastes,Total,0.0,0.0,36.82,0.0,3361.8266666666664,0.0,19.85,208.7,3033.74,385076.1912013989,45.0,0.3114450657723326,4584850.572,0.0,0.0,9.78,0.0,4976642.791313131,0.0,0.0,36678.68,373491.955,4168764.4152,0.0,4578935.0502
63,2012,Soils,Total,4280.87,3456.4,3403.19,5.0,3327.32,5.5,1732.6799999999996,5371.85,4558.634946463552,2466.843624965019,82.0,0.0,3590.894,3999.9475,43538249.416202,490493.1145454543,2958.0,44067981.66081889,0.0,0.0,10201934.189753206,12188099.775,17930668.770000003,0.0,40320702.73475321
64,2012,Dredging spoils,Total,0.0,0.0,0.0,0.0,0.0,230.89005235602096,31.31413612565445,810.4712041884818,0.0,0.0,0.0,0.0,0.0,4.0,14718659.579100786,640.3603237002199,0.0,14720376.614817156,0.0,0.0,15657.47744597122,10918.952879581153,189258.50785340316,14711098.174650522,14926933.112829475
65,2012,Mineral waste from waste treatment & stabilised waste,Total,0.0,410.34,0.0,216.0,596.43,3059.0,59.0,28.0,4088.0,384.0,7.0,223.34,5739.32,7.0,22220.0,194.48,0.0,37231.91,0.0,0.0,22849.13,105557.41,1703589.069,0.0,1831995.609
66,2014,Spent solvents,Total,13.77,3582.53,538.3244469505948,13.046312041949024,112.48407586134071,1459.5492862003275,106.25027187438272,113488.15128876409,67.96300505508991,1205.121176235486,1676.5786634214294,329.62973418946837,27.06394481400529,16.365184165843935,2638.816088355947,4442.080055701823,0.0,129717.72353363175,0.0,0.0,260.81,0.0,15.5,0.0,276.31
67,2014,"Acid, alkaline or saline wastes",Total,1.16,5412.8600000000015,5397.482389762793,2.959957586781912,51.45312194100778,10789.424683737087,15977.201421268806,81271.87074816613,4323.125275258656,34645.80127637015,12449.723637257695,1648.5948631213644,102.86970847404105,230.79156711309682,0.0,19113.92328877577,0.0,191419.2419388334,0.0,0.0,96465.512,0.0,36543.042,0.0,133008.554
68,2014,Used oils,Total,30434.482462436546,19247.887,7085.946826881353,76.1931950430435,158.24853226865497,3348.3025729771116,5017.236241818536,50594.298031912986,18863.205381918408,27114.096076261318,17769.611007563246,4049.4236675345815,36079.156835784415,52.430441455469406,1.4413948879516238,111407.34386998024,5800.627295608438,337099.93083433236,0.0,0.0,8399.096269661693,0.0,365.67,0.0,8764.766269661694
