,Year,EWC-STAT code,EWC-STAT description,Hazardous/Non-hazardous split,A,B,C10-C12,C13-C15,C16,C17_C18,C19,C20-C22,C23,C24_C25,C26-C30,C31-C33,D,E36_E37_E39,F,G-U_X_G4677,EP_HH,Total waste generation,Year,EWC-STAT code,EWC-STAT description,Hazardous/Non-hazardous split,Energy recovery,Incineration,Recovery other than energy recovery - Except backfilling,Recovery other than energy recovery - Backfilling,Deposit onto or into land,Land treatment and release into water bodies,Total waste sent to final treatment
197,2012,12.7,Dredging spoils,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10941168.871727748,0,0,10941168.871727748,2012,12.7,Dredging spoils,Total,0,0,1477.5115183246076,4368.952879581152,189169.96335078534,10941168.871727748,11136185.299476439
200,2012,"12.8, 13",Mineral waste from waste treatment & stabilised waste,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,"12.8, 13",Mineral waste from waste treatment & stabilised waste,Total,0,0,11150.699999999999,25327.5,1485867.6680000003,0,1522345.8680000002
206,2014,01.1,Spent solvents,Total,0,0,18.065464014482792,12.046312041949024,21.522649645347322,914.74602936031181,24.250271874382712,40845.23233988203,12.601048559517732,446.33459449576458,469.20359197165834,108.16516299047672,2.6541472639025652,0.59518416584393552,0,1380.284203734363,0,44255.70100000003,2014,01.1,Spent solvents,Total,0,0,0,0,15.5,0,15.5
209,2014,01.2,"Acid, alkaline or saline wastes",Total,0,0,4810.7689082566776,2.9599575867819121,25.64162152880661,10672.397659279928,2019.0402510560423,72866.888857491576,3772.9898440833485,26102.332698039674,6794.2476884699681,1548.5948631213646,60.743807400272757,202.64156711309676,0,12724.777276572489,0,141604.02500000002,2014,01.2,"Acid, alkaline or saline wastes",Total,0,0,1590.701,0,36543.042000000001,0,38133.743000000002
212,2014,01.3,Used oils,Total,20590.607346752473,1178.7669999999998,4656.6230891213118,59.069085395744715,67.372365739388684,2965.7398974379544,3455.1311354355566,39804.461541523553,15123.923480298516,17715.790182415174,7230.7969550719063,3118.2080387447345,24640.31579536444,21.786153918251202,0,58788.010279533497,4613.840000000002,204030.44234675253,2014,01.3,Used oils,Total,0,0,3600.9582696616935,0,365.67,0,3966.6282696616936
215,2014,"01.4, 02, 03.1",Chemical wastes,Total,105708.13654654392,496.41099999999989,602.68481567163019,3113.6160280515542,485.7046780334735,27213.549050399979,5207.3535931732122,572520.60578274203,3755.2176843350635,73121.862512860273,9152.1320762485811,2131.5690860896802,842.14638054517013,10.484567382050736,0,76386.632744467337,6871.6579999999985,887619.76454654406,2014,"01.4, 02, 03.1",Chemical wastes,Total,0,133662,15547.540651509626,0,22921.964,0,172131.50465150963
218,2014,03.2,Industrial effluent sludges,Total,0,14772.620999999999,73732.989489407904,2302.5540930870775,22.675323022316903,92593.210634592659,1517.1794829322598,30009.729084071412,6551.5237168605408,25280.925922782368,3275.742216721811,227.41858007270503,5889.9314386509113,13189.689788028834,0,12654.46602976925,0,282020.65680000006,2014,03.2,Industrial effluent sludges,Total,0,0,6727.6894600000005,79.671599999999998,91564.114999999991,0,98371.476059999986
221,2014,03.3,Sludges & liquid wastes from waste treatment,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,03.3,Sludges & liquid wastes from waste treatment,Total,90827.9,0,324.5994,89.286299999999997,368041.51899999997,0,459283.30469999998
224,2014,05,Health care & biological wastes,Total,1024.5644123110528,2.0119999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,262931.60300000012,0,263958.17941231118,2014,05,Health care & biological wastes,Total,0,101484.24,14.74,0,122488.59,0,223987.57
227,2014,06.1,"Metallic wastes, ferrous",Total,0,0,0,0,0,0,0,0,0,478099.38599999988,0,0,0,0,1216652.8259999999,754427.23200000019,9668.7769999999982,2458848.2209999999,2014,06.1,"Metallic wastes, ferrous",Total,0,0,8312312.3259999994,1425,23470.210999999999,0,8337207.5369999995
